State,Crop Type,Rainfall,Temperature,Soil Type,Fertilizer Usage,Area,Yield
Andhra Pradesh,Sugarcane,978.7,23.6,Loamy,144.1,6.83,7.53
Tamil Nadu,Wheat,857.8,34.1,Loamy,144.2,1.43,4.68
Rajasthan,Soybean,504.5,28.7,Silt,20.0,4.01,3.93
Maharashtra,Wheat,902.4,29.3,Silt,110.4,1.8,4.45
Maharashtra,Wheat,624.9,12.7,Silt,140.7,5.01,2.7
Uttar Pradesh,Wheat,466.4,25.7,Peaty,103.6,4.61,5.53
Andhra Pradesh,Cotton,934.2,36.4,Sandy,121.4,3.88,2.16
Rajasthan,Sugarcane,1022.0,32.6,,150.0,6.68,7.35
Gujarat,Maize,1031.7,16.8,Silt,123.2,3.37,4.98
Andhra Pradesh,Wheat,1041.8,24.4,Clay,180.3,5.15,5.05
Punjab,Rice,416.9,20.0,Peaty,165.1,6.14,5.89
West Bengal,Soybean,559.7,34.6,Loamy,115.3,1.53,4.3
Tamil Nadu,Pulses,1393.4,27.2,Sandy,112.1,3.0,4.41
Tamil Nadu,Soybean,638.2,22.2,Peaty,20.0,4.61,4.13
Tamil Nadu,Wheat,1052.7,,Silt,106.9,5.76,4.98
Tamil Nadu,Soybean,728.3,13.0,Peaty,65.9,7.34,3.47
Punjab,Sugarcane,919.9,20.6,Loamy,128.8,4.07,6.99
Bihar,Cotton,741.7,26.2,Sandy,126.1,3.87,4.08
Uttar Pradesh,Rice,1040.4,30.2,Silt,147.8,2.75,5.94
Maharashtra,Pulses,934.2,16.3,Silt,175.9,5.16,2.85
Punjab,Cotton,787.9,24.1,Peaty,118.9,3.91,4.56
Karnataka,Wheat,,31.0,Sandy,211.2,3.95,4.07
Bihar,Rice,966.9,18.7,Silt,129.3,4.31,5.63
West Bengal,Maize,596.8,27.1,Sandy,67.6,5.6,4.81
Tamil Nadu,Wheat,1006.9,26.3,Peaty,97.5,3.37,5.7
Rajasthan,Maize,1556.6,34.6,Loamy,105.1,2.96,5.66
Maharashtra,Cotton,1237.5,24.8,Clay,143.7,5.36,4.47
Uttar Pradesh,Pulses,1079.6,25.1,Loamy,82.1,0.5,4.03
Punjab,Wheat,878.6,30.3,Silt,108.1,3.29,4.47
Maharashtra,Sugarcane,415.3,19.4,Clay,113.6,2.2,5.42
Maharashtra,Pulses,569.4,24.9,Clay,102.1,6.91,3.97
Gujarat,Soybean,1220.7,23.7,Peaty,,3.62,5.82
Andhra Pradesh,Pulses,702.6,25.3,Clay,145.7,3.38,3.33
Punjab,Rice,725.2,30.2,Loamy,166.7,4.4,5.98
Uttar Pradesh,Soybean,858.6,28.8,Loamy,106.8,3.31,4.73
Andhra Pradesh,Pulses,634.5,22.3,Clay,168.1,3.69,3.95
